P[ (x=8,y=1) | steps=1 ] = 0.0
P[ (x=8,y=3) | steps=1 ] = 0.0
P[ (x=8,y=2) | steps=0 ] = 0.0
P[ (x=5,y=-1) | steps=0 ] = 0.0
P[ (x=9,y=-1) | steps=0 ] = 0.0
P[ (x=9,y=1) | steps=0 ] = 0.0
P[ (x=6,y=-2) | steps=0 ] = 0.0
P[ (x=8,y=-2) | steps=0 ] = 0.0
P[ (x=7,y=0) | steps=1 ] = 0.25
P[ (x=6,y=2) | steps=2 ] = 0.5
P[ (x=5,y=4) | steps=3 ] = 0.57421875
P[ (x=4,y=6) | steps=4 ] = 0.323486328125
P[ (x=8,y=6) | steps=4 ] = 0.0
P[ (x=5,y=9) | steps=4 ] = 0.0
P[ (x=8,y=8) | steps=4 ] = 0.0
P[ (x=4,y=8) | steps=2 ] = 0.0
P[ (x=2,y=8) | steps=2 ] = 0.0
P[ (x=2,y=4) | steps=2 ] = 0.75
P[ (x=3,y=6) | steps=3 ] = 0.427734375
P[ (x=8,y=6) | steps=2 ] = 0.0
P[ (x=9,y=3) | steps=2 ] = 0.0
P[ (x=9,y=5) | steps=2 ] = 0.0
P[ (x=8,y=2) | steps=2 ] = 0.0
P[ (x=7,y=4) | steps=3 ] = 0.28515625
P[ (x=5,y=9) | steps=2 ] = 0.0
P[ (x=2,y=8) | steps=2 ] = 0.0
P[ (x=3,y=9) | steps=2 ] = 0.0
P[ (x=6,y=8) | steps=2 ] = 0.0
P[ (x=4,y=7) | steps=3 ] = 0.28515625
P[ (x=8,y=8) | steps=2 ] = 0.0
P[ (x=9,y=5) | steps=2 ] = 0.0
P[ (x=6,y=8) | steps=2 ] = 0.0
P[ (x=9,y=7) | steps=2 ] = 0.0
P[ (x=8,y=3) | steps=1 ] = 0.0
P[ (x=8,y=5) | steps=1 ] = 0.0
P[ (x=6,y=4) | steps=2 ] = 0.578125
P[ (x=8,y=4) | steps=2 ] = 0.0
P[ (x=7,y=6) | steps=3 ] = 0.19921875
P[ (x=2,y=-1) | steps=1 ] = 0.0
P[ (x=4,y=-1) | steps=1 ] = 0.0
P[ (x=3,y=1) | steps=2 ] = 0.578125
P[ (x=4,y=-1) | steps=1 ] = 0.0
P[ (x=6,y=-1) | steps=1 ] = 0.0
P[ (x=5,y=1) | steps=2 ] = 0.5
P[ (x=4,y=3) | steps=3 ] = 0.62109375
P[ (x=8,y=2) | steps=2 ] = 0.0
P[ (x=8,y=4) | steps=2 ] = 0.0
P[ (x=8,y=3) | steps=1 ] = 0.0
P[ (x=9,y=0) | steps=1 ] = 0.0
P[ (x=9,y=2) | steps=1 ] = 0.0
P[ (x=6,y=-1) | steps=1 ] = 0.0
P[ (x=8,y=-1) | steps=1 ] = 0.0
P[ (x=7,y=1) | steps=2 ] = 0.28125
P[ (x=6,y=3) | steps=3 ] = 0.427734375
P[ (x=5,y=5) | steps=4 ] = 0.38330078125
P[ (x=8,y=7) | steps=3 ] = 0.0
P[ (x=6,y=8) | steps=2 ] = 0.0
P[ (x=4,y=8) | steps=2 ] = 0.0
P[ (x=5,y=6) | steps=3 ] = 0.39453125
P[ (x=9,y=4) | steps=3 ] = 0.0
P[ (x=9,y=6) | steps=3 ] = 0.0
P[ (x=8,y=3) | steps=3 ] = 0.0
P[ (x=7,y=5) | steps=4 ] = 0.199462890625
P[ (x=6,y=7) | steps=5 ] = 0.11328125
P[ (x=4,y=8) | steps=4 ] = 0.0
P[ (x=2,y=9) | steps=3 ] = 0.0
P[ (x=-1,y=8) | steps=3 ] = 0.0
P[ (x=-1,y=6) | steps=3 ] = 0.0
P[ (x=0,y=9) | steps=3 ] = 0.0
P[ (x=3,y=8) | steps=3 ] = 0.0
P[ (x=-2,y=6) | steps=2 ] = 0.0
P[ (x=-2,y=4) | steps=2 ] = 0.0
P[ (x=-1,y=7) | steps=2 ] = 0.0
P[ (x=-1,y=3) | steps=2 ] = 0.0
P[ (x=0,y=5) | steps=3 ] = 0.263671875
P[ (x=1,y=7) | steps=4 ] = 0.1533203125
P[ (x=-1,y=6) | steps=3 ] = 0.0
P[ (x=-1,y=4) | steps=3 ] = 0.0
P[ (x=1,y=9) | steps=2 ] = 0.0
P[ (x=-2,y=8) | steps=2 ] = 0.0
P[ (x=-2,y=6) | steps=2 ] = 0.0
P[ (x=-1,y=9) | steps=2 ] = 0.0
P[ (x=2,y=8) | steps=2 ] = 0.0
P[ (x=-1,y=5) | steps=2 ] = 0.0
P[ (x=0,y=7) | steps=3 ] = 0.125
P[ (x=-2,y=4) | steps=2 ] = 0.0
P[ (x=-2,y=2) | steps=2 ] = 0.0
P[ (x=-1,y=5) | steps=2 ] = 0.0
P[ (x=-1,y=1) | steps=2 ] = 0.0
P[ (x=-1,y=2) | steps=1 ] = 0.0
P[ (x=-1,y=0) | steps=1 ] = 0.0
P[ (x=0,y=-1) | steps=1 ] = 0.0
P[ (x=2,y=-1) | steps=1 ] = 0.0
P[ (x=1,y=1) | steps=2 ] = 0.375
P[ (x=0,y=3) | steps=3 ] = 0.28515625
P[ (x=-2,y=3) | steps=1 ] = 0.0
P[ (x=-2,y=1) | steps=1 ] = 0.0
P[ (x=-1,y=4) | steps=1 ] = 0.0
P[ (x=-1,y=0) | steps=1 ] = 0.0
P[ (x=0,y=2) | steps=2 ] = 0.359375
P[ (x=2,y=3) | steps=3 ] = 0.57421875
P[ (x=1,y=5) | steps=4 ] = 0.287109375
P[ (x=2,y=8) | steps=4 ] = 0.0
P[ (x=6,y=9) | steps=3 ] = 0.0
P[ (x=3,y=8) | steps=3 ] = 0.0
P[ (x=4,y=9) | steps=3 ] = 0.0
P[ (x=7,y=8) | steps=3 ] = 0.0
P[ (x=4,y=5) | steps=3 ] = 0.57421875
P[ (x=5,y=7) | steps=4 ] = 0.199462890625
P[ (x=2,y=8) | steps=2 ] = 0.0
P[ (x=-1,y=7) | steps=2 ] = 0.0
P[ (x=-1,y=5) | steps=2 ] = 0.0
P[ (x=0,y=8) | steps=2 ] = 0.0
P[ (x=1,y=6) | steps=3 ] = 0.2890625
P[ (x=-1,y=3) | steps=2 ] = 0.0
P[ (x=-1,y=1) | steps=2 ] = 0.0
P[ (x=-2,y=1) | steps=1 ] = 0.0
P[ (x=-2,y=-1) | steps=1 ] = 0.0
P[ (x=2,y=-1) | steps=1 ] = 0.0
P[ (x=-1,y=2) | steps=1 ] = 0.0
P[ (x=-1,y=-2) | steps=1 ] = 0.0
P[ (x=1,y=-2) | steps=1 ] = 0.0
P[ (x=0,y=0) | steps=2 ] = 0.1875
P[ (x=0,y=-1) | steps=1 ] = 0.0
P[ (x=4,y=-1) | steps=1 ] = 0.0
P[ (x=1,y=-2) | steps=1 ] = 0.0
P[ (x=3,y=-2) | steps=1 ] = 0.0
P[ (x=2,y=0) | steps=2 ] = 0.359375
P[ (x=1,y=2) | steps=3 ] = 0.39453125
P[ (x=2,y=-1) | steps=1 ] = 0.0
P[ (x=6,y=-1) | steps=1 ] = 0.0
P[ (x=3,y=-2) | steps=1 ] = 0.0
P[ (x=5,y=-2) | steps=1 ] = 0.0
P[ (x=4,y=0) | steps=2 ] = 0.40625
P[ (x=3,y=2) | steps=3 ] = 0.57421875
P[ (x=2,y=4) | steps=4 ] = 0.4287109375
P[ (x=4,y=-1) | steps=1 ] = 0.0
P[ (x=8,y=-1) | steps=1 ] = 0.0
P[ (x=8,y=1) | steps=1 ] = 0.0
P[ (x=5,y=-2) | steps=1 ] = 0.0
P[ (x=7,y=-2) | steps=1 ] = 0.0
P[ (x=6,y=0) | steps=2 ] = 0.28125
P[ (x=5,y=2) | steps=3 ] = 0.53515625
P[ (x=4,y=4) | steps=4 ] = 0.48291015625
P[ (x=3,y=6) | steps=5 ] = 0.241851806640625
P[ (x=-1,y=4) | steps=3 ] = 0.0
P[ (x=-1,y=2) | steps=3 ] = 0.0
P[ (x=-2,y=2) | steps=2 ] = 0.0
P[ (x=-2,y=0) | steps=2 ] = 0.0
P[ (x=-1,y=3) | steps=2 ] = 0.0
P[ (x=-1,y=-1) | steps=2 ] = 0.0
P[ (x=1,y=-1) | steps=2 ] = 0.0
P[ (x=0,y=1) | steps=3 ] = 0.19921875
P[ (x=1,y=-1) | steps=2 ] = 0.0
P[ (x=3,y=-1) | steps=2 ] = 0.0
P[ (x=2,y=1) | steps=3 ] = 0.39453125
P[ (x=1,y=3) | steps=4 ] = 0.323486328125
P[ (x=8,y=4) | steps=2 ] = 0.0
P[ (x=9,y=1) | steps=2 ] = 0.0
P[ (x=9,y=3) | steps=2 ] = 0.0
P[ (x=8,y=0) | steps=2 ] = 0.0
P[ (x=7,y=2) | steps=3 ] = 0.263671875
P[ (x=3,y=-1) | steps=2 ] = 0.0
P[ (x=5,y=-1) | steps=2 ] = 0.0
P[ (x=4,y=1) | steps=3 ] = 0.427734375
P[ (x=8,y=0) | steps=2 ] = 0.0
P[ (x=8,y=2) | steps=2 ] = 0.0
P[ (x=5,y=-1) | steps=2 ] = 0.0
P[ (x=7,y=-1) | steps=2 ] = 0.0
P[ (x=6,y=1) | steps=3 ] = 0.2890625
P[ (x=5,y=3) | steps=4 ] = 0.4287109375
P[ (x=3,y=8) | steps=3 ] = 0.0
P[ (x=1,y=8) | steps=3 ] = 0.0
P[ (x=-1,y=5) | steps=2 ] = 0.0
P[ (x=-1,y=3) | steps=2 ] = 0.0
P[ (x=1,y=4) | steps=3 ] = 0.427734375
P[ (x=2,y=6) | steps=4 ] = 0.287109375
P[ (x=-1,y=1) | steps=2 ] = 0.0
P[ (x=-1,y=-1) | steps=2 ] = 0.0
P[ (x=3,y=-1) | steps=2 ] = 0.0
P[ (x=0,y=-2) | steps=2 ] = 0.0
P[ (x=2,y=-2) | steps=2 ] = 0.0
P[ (x=1,y=0) | steps=3 ] = 0.19921875
P[ (x=1,y=-1) | steps=2 ] = 0.0
P[ (x=5,y=-1) | steps=2 ] = 0.0
P[ (x=2,y=-2) | steps=2 ] = 0.0
P[ (x=4,y=-2) | steps=2 ] = 0.0
P[ (x=3,y=0) | steps=3 ] = 0.28515625
P[ (x=2,y=2) | steps=4 ] = 0.38330078125
P[ (x=3,y=-1) | steps=2 ] = 0.0
P[ (x=7,y=-1) | steps=2 ] = 0.0
P[ (x=4,y=-2) | steps=2 ] = 0.0
P[ (x=6,y=-2) | steps=2 ] = 0.0
P[ (x=5,y=0) | steps=3 ] = 0.263671875
P[ (x=4,y=2) | steps=4 ] = 0.4287109375
P[ (x=3,y=4) | steps=5 ] = 0.35565185546875
P[ (x=8,y=6) | steps=4 ] = 0.0
P[ (x=9,y=3) | steps=4 ] = 0.0
P[ (x=7,y=8) | steps=3 ] = 0.0
P[ (x=8,y=5) | steps=3 ] = 0.0
